"Year","Municipality","Offence group and specifier for criminal act","Offences known to the authorities (number)"
"2013","WHOLE COUNTRY","1118 Means of payment fraud, petty means of payment fraud, preparation thereof 37:8,10,11",7484
"2013","WHOLE COUNTRY","1119 Aggravated means of payment fraud 37:9",123
"2014","WHOLE COUNTRY","1116 Fraud, petty fraud 36:1,3",22164
"2014","WHOLE COUNTRY","1117 Aggravated fraud 36:2",1351
"2014","WHOLE COUNTRY","1118 Means of payment fraud, petty means of payment fraud, preparation thereof 37:8,10,11",7648
"2014","WHOLE COUNTRY","1119 Aggravated means of payment fraud 37:9",123
"2015","WHOLE COUNTRY","1116 Fraud, petty fraud 36:1,3",24633
"2015","WHOLE COUNTRY","1117 Aggravated fraud 36:2",1458
"2015","WHOLE COUNTRY","1118 Means of payment fraud, petty means of payment fraud, preparation thereof 37:8,10,11",10720
"2015","WHOLE COUNTRY","1119 Aggravated means of payment fraud 37:9",193
"2016","WHOLE COUNTRY","1116 Fraud, petty fraud 36:1,3",23643
"2016","WHOLE COUNTRY","1117 Aggravated fraud 36:2",1422
"2016","WHOLE COUNTRY","1118 Means of payment fraud, petty means of payment fraud, preparation thereof 37:8,10,11",14963
"2016","WHOLE COUNTRY","1119 Aggravated means of payment fraud 37:9",161
"2017","WHOLE COUNTRY","1116 Fraud, petty fraud 36:1,3",22699
"2017","WHOLE COUNTRY","1117 Aggravated fraud 36:2",1469
"2017","WHOLE COUNTRY","1118 Means of payment fraud, petty means of payment fraud, preparation thereof 37:8,10,11",6564
"2017","WHOLE COUNTRY","1119 Aggravated means of payment fraud 37:9",246
"2018","WHOLE COUNTRY","1116 Fraud, petty fraud 36:1,3",23766
"2018","WHOLE COUNTRY","1117 Aggravated fraud 36:2",1727
"2018","WHOLE COUNTRY","1118 Means of payment fraud, petty means of payment fraud, preparation thereof 37:8,10,11",6002
"2018","WHOLE COUNTRY","1119 Aggravated means of payment fraud 37:9",212
"2019","WHOLE COUNTRY","1116 Fraud, petty fraud 36:1,3",27798
"2019","WHOLE COUNTRY","1117 Aggravated fraud 36:2",2092
"2019","WHOLE COUNTRY","1118 Means of payment fraud, petty means of payment fraud, preparation thereof 37:8,10,11",6201
"2019","WHOLE COUNTRY","1119 Aggravated means of payment fraud 37:9",217
